PI533830	0.0151035	0.0162174	-0.00367525
PI533915	0.0120113	0.0281059	-0.00589907
PI533949	0.0231466	0.0404104	0.000768898
PI576337	0.016123	0.0250212	-0.015785
PI576396	0.0224965	0.0408823	0.0055541
PI576434	0.0196623	0.0381901	0.00501691
PI655987	0.0230156	0.0411966	-0.0173394
PI656020	0.0223513	0.0386025	-0.0171594
PI533903	-0.0295816	-0.0516619	0.0846665
PI656007	0.0206315	0.039532	-0.0127208
PI534047	0.0204566	0.0325233	0.00329082
PI533785	-0.0300977	-0.0563007	-0.0479866
PI552861	0.0189368	0.0272272	-7.12356e-05
PI34911	0.0234941	0.043308	-0.0144943
PI35038	0.0237595	0.0411432	0.00621197
PI48770	0.019004	0.0397474	-0.0133718
PI533750	0.0191667	0.0396319	-0.0135352
PI533754	-0.0114366	-0.0803948	-0.0383477
PI533755	-0.00789189	-0.0543201	-0.0233106
PI533757	0.0187429	0.0238682	-0.000427435
PI533758	0.0233682	0.0424839	0.00689271
PI533760	0.0236111	0.0430688	0.00767535
PI533761	0.0214413	0.035695	0.00604109
PI533762	0.0167708	0.0228606	-0.00476654
PI533766	0.0189768	0.0284286	-0.00135647
PI533769	-0.0374185	-0.0525282	-0.0469999
PI533776	0.0203055	0.0373	0.00305766
PI533788	-0.0170736	-0.0516878	-0.040882
PI533789	0.0169353	0.0197723	-0.00170936
PI533794	0.0178126	0.0250353	-0.00252414
PI533799	0.00946025	0.0328439	0.0817177
PI533800	0.00970563	0.0334025	0.0809978
PI533807	0.0225971	0.0363504	0.00695817
PI533810	0.0199932	0.038205	0.00528249
PI533814	-0.0103484	-0.077574	-0.0381132
PI533821	-0.0118204	-0.0767386	-0.0381098
PI533822	0.0101109	0.0265457	-0.00599437
PI533824	0.0111991	0.0323203	-0.00693237
PI533833	-0.0258909	-0.0752873	-0.000627202
PI533841	0.0216877	0.037228	0.00461799
PI533842	-0.0241854	-0.0459612	-0.0394007
PI533843	-0.00630043	-0.0649497	-0.0342661
PI533852	-0.0123811	-0.0305431	0.0456825
PI533856	-0.00757298	-0.0660595	-0.0340488
PI533866	-0.00554427	-0.0622291	-0.0336113
PI533869	-0.0253783	-0.0522565	-0.0363322
PI533871	0.0104799	0.0329347	-0.00725961
PI533876	-0.0217105	-0.0484891	-0.0416352
PI533877	0.00786913	-0.00335848	-0.013945
PI533878	-0.013383	-0.0518055	-0.0371114
PI533882	-0.0159709	-0.0520321	-0.0395423
PI533901	0.00575599	0.0160262	-0.0116129
PI533910	0.0174302	0.0281002	-0.00201425
PI533911	0.0166924	0.0283982	-0.000334793
PI533912	0.00128514	-0.0236188	-0.0155889
PI533913	0.0192022	0.0298914	-0.000209875
PI533919	0.0114135	0.0278217	0.00362839
PI533924	-0.0150548	-0.0810615	-0.027128
PI533927	-0.0385914	-0.071892	0.0980804
PI533936	-0.029707	-0.0547167	0.0811315
PI533938	0.017833	0.0333173	-0.013027
PI533939	0.0163035	0.0321309	-0.0132801
PI533940	0.00270602	-0.0269509	-0.0207124
PI533943	-0.00233175	-0.0378519	-0.0339804
PI533948	-0.00716642	-0.0565414	-0.0393039
PI533955	0.0197594	0.0412106	-0.0148306
PI533956	0.0185203	0.0355816	-0.0133527
PI533957	-0.0140766	-0.00727336	0.0339952
PI533961	-0.00540959	-0.0272733	-0.0224453
PI533962	0.0237036	0.0444253	0.00224296
PI533965	0.0232765	0.0410483	0.00390266
PI533967	0.0222184	0.0422177	0.00532504
PI533970	0.0225551	0.0394455	0.0066777
PI533976	0.00399627	0.0168012	0.0638441
PI533979	0.0217323	0.0386128	0.00357995
PI533980	0.0182075	0.0265884	-0.0148529
PI533985	0.0190806	0.0276323	0.000544905
PI533986	0.0223638	0.0394764	0.00468759
PI533989	0.0194923	0.0294107	0.00179805
PI533996	0.0224585	0.0390813	0.00652553
PI533997	0.00456961	-0.0236462	-0.0190824
PI534009	0.0115738	0.0251747	-0.00987712
PI534021	0.0148662	0.0125061	-0.0171869
PI534028	-0.00625948	-0.0645407	-0.0346229
PI534037	-0.00806158	-0.0713725	-0.0359725
PI534053	-0.0362049	-0.0480514	-0.0380133
PI534054	0.019498	0.0314362	-0.000699153
PI534063	0.0109714	0.0372029	-0.0101954
PI534070	-0.0236696	-0.0526128	-0.0435876
PI534075	-0.0310519	-0.0552289	-0.0473423
PI534079	-0.0220829	-0.050574	-0.040698
PI534088	0.0149857	0.0294208	-0.00575329
PI534092	-0.0135328	-0.0542463	-0.0372504
PI534096	-0.0152713	-0.0532049	-0.0373798
PI534097	-0.4418	0.166633	-0.046673
PI534099	-0.00491564	-0.0436468	-0.0320561
PI534101	0.0235713	0.0400684	0.00297276
PI534105	0.0208683	0.0377145	0.0041974
PI534108	0.0233271	0.0417893	-0.00276365
PI534112	0.0244246	0.0446004	0.00597925
PI534114	0.0239522	0.0430306	0.0046407
PI534115	0.0204285	0.0396355	0.00414516
PI534116	0.024168	0.0438033	0.0105491
PI534117	-0.027777	-0.054347	0.0778118
PI534123	-0.029893	-0.0107306	0.0414921
PI534124	0.00150249	0.00119618	0.012728
PI534127	-0.0406063	-0.0717479	0.0959065
PI534128	-0.0143681	-0.0777732	-0.0339378
PI534132	-0.0093322	-0.0735312	-0.0397416
PI534133	-0.00268468	-0.0494863	-0.0339101
PI534135	-0.0126167	-0.085126	-0.0412428
PI534137	-0.0132145	-0.0879983	-0.0416121
PI534144	0.0160787	0.0203532	-0.00140017
PI534145	-0.0126904	-0.0354204	-0.0264408
PI534148	-0.0299203	-0.062271	-0.0469517
PI534163	-0.01186	-0.0497654	0.0421057
PI534167	0.0203583	0.0398637	-0.00887445
PI542406	-0.00840804	-0.0611125	-0.0262785
PI548797	-0.00586358	-0.00358512	0.078433
PI552856	0.0204567	0.030096	0.00283402
PI561071	0.00982958	0.0333465	0.0656968
PI561073	0.016285	0.0198528	-0.00264048
PI561472	0.0191651	0.0366947	-0.0094682
PI564164	0.00877669	0.0295629	0.075666
PI564165	-0.00186886	-0.0463997	-0.0340857
PI576130	-0.00313945	-0.052505	-0.0367532
PI576332	0.00730602	-0.0108404	-0.0085607
PI576333	0.0152833	0.025955	-0.0131482
PI576339	0.0175303	0.0405021	-0.0124489
PI576340	0.0184039	0.038319	-0.0132173
PI576345	0.0206162	0.0428142	-0.0134989
PI576347	0.0190121	0.0414477	-0.0129446
PI576350	-0.037228	-0.063342	0.222148
PI576352	-0.0380247	-0.0529253	0.199192
PI576359	0.0191506	0.0371445	-0.0106983
PI576364	-0.0061363	-0.0519088	-0.0362754
PI576373	0.0189782	0.0354361	-0.0139758
PI576375	0.0223955	0.0386666	-0.0148358
PI576376	-0.0117892	-0.0807128	-0.0388123
PI576380	-0.0119653	-0.0507406	0.040985
