PI_48770 4
PI_534047 5
PI_576426 2
PI_576428 5
PI_576435 5
PI_576437 5
PI_585295 3
PI_595699 2
PI_533766 1
PI_595702 4
PI_595714 5
PI_595718 5
PI_533750 2
PI_595720 2
PI_595739 5
PI_595740 4
PI_595741 1
PI_595743 4
PI_595744 5
PI_595745 5
PI_533769 5
PI_597945 2
PI_597946 5
PI_534053 5
PI_597949 4
PI_597950 4
PI_597951 1
PI_597952 5
PI_597957 2
PI_597958 4
PI_597960 1
PI_533776 1
PI_597961 5
PI_597964 5
PI_534054 4
PI_597965 5
PI_597966 5
PI_597967 5
PI_597968 5
PI_597971 5
PI_597972 2
PI_533785 1
PI_597973 2
PI_597976 1
PI_597980 5
PI_534063 1
PI_597982 5
PI_598069 2
PI_601816 5
PI_607931 5
PI_609456 1
PI_613536 5
PI_629040 3
PI_629059 4
PI_641849 4
PI_641874 3
PI_534070 1
PI_642791 5
PI_642793 3
PI_533789 5
PI_642998 2
PI_651496 5
PI_655970 4
PI_655971 3
PI_655972 4
PI_655973 3
PI_655974 4
PI_655975 4
PI_655976 4
PI_655977 5
PI_655978 3
PI_655979 3
PI_655981 1
PI_533794 5
PI_655992 4
PI_655993 4
PI_533799 5
PI_534096 1
PI_655994 4
PI_655995 2
PI_655996 3
PI_655997 3
PI_655998 1
PI_655999 2
PI_656000 5
PI_656001 5
PI_656002 4
PI_656003 4
PI_533752 5
PI_533800 5
PI_656004 1
PI_656005 4
PI_656006 5
PI_656007 4
PI_656008 5
PI_656009 5
PI_656010 3
PI_656011 5
PI_656012 3
PI_534097 4
PI_656013 2
PI_533807 5
PI_656014 2
PI_656016 4
PI_656017 3
PI_656018 4
PI_656019 4
PI_656020 4
PI_656021 3
PI_656022 4
PI_533991 5
PI_534099 5
PI_656023 4
PI_533810 2
PI_656024 5
PI_656025 2
PI_656026 5
PI_656027 5
PI_656028 4
internalID_325 3
PI_656029 2
PI_656030 3
PI_534101 5
PI_656031 5
PI_656032 4
PI_656034 5
PI_656035 5
PI_656036 5
PI_656037 5
PI_656039 5
PI_656040 1
PI_656041 3
PI_534104 5
PI_656042 4
PI_533814 2
PI_656043 5
PI_656044 5
PI_656046 2
PI_656048 5
PI_656049 4
PI_656050 5
PI_656051 5
PI_656052 4
PI_534105 5
PI_533821 1
PI_656053 5
PI_656055 3
PI_656056 5
PI_656057 5
PI_656058 4
PI_656059 5
PI_656060 4
PI_656061 4
PI_534108 5
PI_656062 5
PI_656068 5
PI_656069 5
PI_533824 2
PI_656070 5
PI_656071 5
PI_656072 2
PI_656074 5
PI_534112 5
PI_656075 5
PI_656076 5
PI_656077 2
PI_656078 1
PI_656079 1
PI_533830 5
PI_656080 4
PI_656082 2
PI_656083 5
PI_656085 5
PI_534114 5
PI_656086 2
PI_656087 5
PI_656088 2
PI_656089 2
PI_656090 5
PI_656091 2
PI_656092 2
PI_656093 1
PI_656094 1
PI_656095 1
PI_534115 5
PI_656096 1
PI_656097 2
PI_656099 2
PI_533833 5
PI_656100 2
PI_656102 1
PI_656104 2
PI_656105 5
PI_656106 5
PI_534116 2
PI_656107 5
PI_656108 2
PI_656109 1
PI_533838 1
PI_656110 2
PI_656111 4
PI_656114 2
PI_656115 1
PI_656116 1
PI_533754 2
PI_656117 5
PI_656118 5
PI_533839_(IS3620C)_-_Elite 1
PI_656119 1
PI_656120 5
PI_656121 5
PI_659691 5
PI_659693 5
PI_659694 5
PI_659695 2
PI_533996 5
PI_534117 1
PI_659696 5
PI_659753 2
PI_533839_(SC303)_-_Converted 1
PI_533841 1
PI_533842 2
PI_533845 4
PI_533852 2
PI_533855 4
PI_533856 2
PI_534123 2
PI_533863 5
PI_533866 1
PI_533869 4
PI_533876 5
PI_533877 1
PI_533878 1
PI_276837 5
PI_329435 5
PI_533901 5
PI_533902 2
PI_534124 2
PI_533903 2
PI_533910 5
PI_533911 5
PI_533912 5
PI_533913 1
PI_533915 4
PI_533919 2
PI_329440 4
PI_533921 3
PI_533924 2
PI_534127 2
PI_533927 4
PI_533936 4
PI_533937 4
PI_533938 4
PI_533939 5
PI_533940 4
PI_533943 2
PI_34911 5
PI_533948 4
PI_534128 2
PI_533949 5
PI_533954 4
PI_533955 4
PI_533956 1
PI_533957 1
PI_533961 5
PI_533962 5
PI_533964 5
PI_533965 5
PI_533967 5
PI_534132 2
PI_533970 5
PI_533972 5
PI_533976 5
PI_533979 4
PI_533980 5
PI_533985 5
PI_533986 5
PI_533987 5
PI_533989 5
PI_534133 2
PI_534135 2
PI_534137 5
PI_533997 4
PI_533755 3
PI_534138 5
PI_534139 4
PI_534144 1
PI_534145 1
PI_534148 2
PI_534155 2
PI_534157 5
PI_534163 5
PI_533757 5
PI_533998 4
PI_542406 5
PI_542718 2
PI_548797 5
PI_552861 4
PI_561072 5
PI_561073 4
PI_561472 5
PI_533758 5
PI_564163 4
PI_534009 2
PI_564164 3
PI_564165 3
PI_565121 5
PI_574455 5
PI_576130 5
PI_576332 4
PI_576333 4
PI_576337 1
PI_533759 5
PI_576339 4
PI_534021 2
PI_576340 4
PI_576345 4
PI_576347 2
PI_576348 2
PI_576349 2
PI_576350 2
PI_576352 4
PI_576359 2
PI_533760 5
PI_576364 4
PI_534037 1
PI_576366 2
PI_576373 4
PI_576375 2
PI_576376 2
PI_576380 5
PI_576381 2
PI_576385 1
PI_576386 5
PI_533761 5
PI_534046 5
PI_576387 5
PI_576390 2
PI_576393 5
PI_576394 4
PI_576396 5
PI_576399 1
PI_576401 2
PI_576418 1
PI_576422 4
PI_576425 2
